,source_Region,recipient_region,dah_21
0,Asia,Africa,8762287.0
1,Asia,Asia,12038778.0
2,Asia,Central America and Caribbean,956089.0
3,Asia,European Union,13649.0
4,Asia,Middle East,642520.0
5,Asia,N/A,14350882.0
6,Asia,North America,43754.0
7,Asia,Oceania,765684.0
8,Asia,Rest of Europe,714808.0
9,Asia,South America,1001828.0
10,European Union,Africa,51264532.0
11,European Union,Asia,22852686.0
12,European Union,Central America and Caribbean,3242125.0
13,European Union,European Union,103578.0
14,European Union,Middle East,2507156.0
15,European Union,N/A,24638307.0
16,European Union,North America,254869.0
17,European Union,Oceania,480649.0
18,European Union,Rest of Europe,2212407.0
19,European Union,South America,4036559.0
20,North America,Africa,92761523.0
21,North America,Asia,27180114.0
22,North America,Central America and Caribbean,7228764.0
23,North America,European Union,93315.0
24,North America,Middle East,2988797.0
25,North America,N/A,103737255.0
26,North America,North America,206676.0
27,North America,Oceania,761331.0
28,North America,Rest of Europe,1914174.0
29,North America,South America,3205633.0
30,Oceania,Africa,1123250.0
31,Oceania,Asia,2460352.0
32,Oceania,Central America and Caribbean,30372.0
33,Oceania,European Union,2402.0
34,Oceania,Middle East,50296.0
35,Oceania,N/A,2161245.0
36,Oceania,North America,882.0
37,Oceania,Oceania,3282206.0
38,Oceania,Rest of Europe,35602.0
39,Oceania,South America,14340.0
40,Rest of Europe,Africa,27468184.0
41,Rest of Europe,Asia,12919942.0
42,Rest of Europe,Central America and Caribbean,672033.0
43,Rest of Europe,European Union,149763.0
44,Rest of Europe,Middle East,639230.0
45,Rest of Europe,N/A,14412158.0
46,Rest of Europe,North America,118321.0
47,Rest of Europe,Oceania,179920.0
48,Rest of Europe,Rest of Europe,838946.0
49,Rest of Europe,South America,536648.0
